record,task,channel,templateHp,replicate,highpass,condition,timeSec,reference,noisyBeforeHighpass,recovered
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.4765625,5.99672400188578,4.10687840542884,6.94123757645497
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.48046875,5.33562268281938,3.13214885298728,6.08133476816067
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.484375,4.74611784539516,2.18838714340531,5.30197086794947
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.48828125,4.26113733374372,1.34650250433209,4.66691298707359
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.4921875,3.88995687887567,0.663478550637024,4.21127828199706
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.49609375,3.62019766079359,0.16709076170396,3.94111655434178
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.5,3.42452860798801,-0.16027616947256,3.82186308231109
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.50390625,3.26958487894768,-0.365978240552824,3.78980561898429
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.5078125,3.12480247646034,-0.488296388390697,3.78185677494158
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.51171875,2.96952401729006,-0.55264846383114,3.75493469705197
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.515625,2.79744689636168,-0.581897855037845,3.69718957227478
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.51953125,2.61805874516326,-0.575110531098723,3.63045512519991
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.5234375,2.45514098637226,-0.503781451916097,3.61316816398958
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.52734375,2.34279675573802,-0.331759794537501,3.71940397594348
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.53125,2.31978984480011,-0.0248698310663542,4.01074539246053
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.53515625,2.42319378708672,0.458945705253214,4.51830238396754
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.5390625,2.6823590128117,1.15348735176865,5.25440650213461
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.54296875,3.11400462620289,2.06138774412445,6.20784107853441
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.546875,3.71893392048675,3.14470433660939,7.33098808417635
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.55078125,4.48061975403073,4.32481414259599,8.55621055860982
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.5546875,5.36581378611764,5.49490206397647,9.8036689269894
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.55859375,6.32735857391732,6.5511934270514,10.9910787875209
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.5625,7.30932876611948,7.43309531200794,12.0410159081607
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.56640625,8.25427656772412,8.15271876606798,12.9103979155527
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.5703125,9.11165194650462,8.76482881860864,13.5910797438855
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.57421875,9.84564410508008,9.31484188405362,14.0986955291406
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.578125,10.4402129799512,9.82564144985191,14.4609926407938
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.58203125,10.899393756433,10.2933022789935,14.7148768905406
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.5859375,11.2421826792343,10.703972232531,14.9006868873556
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.58984375,11.4930873148662,11.0423880237043,15.0440022739284
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.59375,11.671040326069,11.3024617255471,15.1675885129181
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.59765625,11.7801373981855,11.4801099278425,15.2953788078231
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.6015625,11.8052429787725,11.56867755562,15.4178210718214
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.60546875,11.7140869282914,11.5427015815858,15.4903541754105
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.609375,11.4655759857803,11.3612481371393,15.4413818505786
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.61328125,11.0222668556724,10.9694890804883,15.1869655911417
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.6171875,10.3637631576075,10.2943569735122,14.6558873354986
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.62109375,9.49747507008781,9.26790917128307,13.8050178024524
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.625,8.4637818181339,7.86618404575981,12.6285703140297
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.62890625,7.33401452382549,6.16159565802747,11.1749602377441
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.6328125,6.20147082184109,4.28110885210471,9.55574796743025
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.63671875,5.16738416947576,2.40694454783652,7.93126672359593
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.640625,4.3249192192611,0.707194073527617,6.47783292364792
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.64453125,3.74456366197756,-0.679104488732705,5.34042842594259
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.6484375,3.46374075118938,-1.59189849899654,4.60824151485086
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.65234375,3.48233384834836,-1.96294531944757,4.32957465513408
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.65625,3.76447094802601,-1.87299363058588,4.46442168344343
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.66015625,4.24570571140532,-1.46162127876488,4.9007006170846
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.6640625,4.84387171898035,-0.841836560695882,5.49433715079302
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.66796875,5.47146717760126,-0.119029854671197,6.12112848089961
